sport,bookmaker,team,odds,implied_prob,record
NCAAF,draftkings,Indiana Hoosiers,130,0.43478260869565216,
NCAAF,draftkings,Miami Hurricanes,310,0.24390243902439024,
NCAAF,draftkings,Oregon Ducks,320,0.23809523809523808,
NCAAF,draftkings,Ole Miss Rebels,600,0.14285714285714285,
NCAAF,betonlineag,Indiana Hoosiers,120,0.45454545454545453,
NCAAF,betonlineag,Miami Hurricanes,275,0.26666666666666666,
NCAAF,betonlineag,Oregon Ducks,300,0.25,
NCAAF,betonlineag,Ole Miss Rebels,575,0.14814814814814814,
NCAAF,fanduel,Indiana Hoosiers,126,0.4424778761061947,
NCAAF,fanduel,Oregon Ducks,315,0.24096385542168675,
NCAAF,fanduel,Miami Hurricanes,340,0.22727272727272727,
NCAAF,fanduel,Ole Miss Rebels,570,0.14925373134328357,
NCAAF,betmgm,Indiana Hoosiers,130,0.43478260869565216,
NCAAF,betmgm,Oregon Ducks,300,0.25,
NCAAF,betmgm,Miami Hurricanes,300,0.25,
NCAAF,betmgm,Ole Miss Rebels,600,0.14285714285714285,
