strategy_idx,line_tier,spread_bin,scorer_type,bet_side,training_roi,training_hit_rate,training_games,backtest_plays,backtest_wins,backtest_losses,backtest_pushes,backtest_win_rate,backtest_profit,backtest_roi,roi_delta,season
6,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),OVER,10.2,57.7,194,330,165,164,1,50.15197568389058,-1399.8500000000015,-4.241969696969702,-14.4419696969697,2024-25
13,10-15 (Role Player),2-6 Dog,Rim Attacker (≥40.0%),UNDER,7.1,56.1,148,317,155,161,1,49.050632911392405,-2008.950000000001,-6.337381703470034,-13.437381703470034,2024-25
9,10-15 (Role Player),6-10 Dog,Rim Attacker (≥40.0%),UNDER,9.1,57.1,98,238,115,123,0,48.319327731092436,-1845.3500000000008,-7.753571428571432,-16.85357142857143,2024-25
12,10-15 (Role Player),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,7.5,56.3,159,214,109,105,0,50.93457943925234,-590.8100000000007,-2.7607943925233682,-10.260794392523369,2024-25
4,20-25 (Star),6-10 Dog,Perimeter (<40.0%),OVER,11.1,58.2,67,206,96,109,1,46.82926829268293,-2172.6400000000003,-10.546796116504856,-21.646796116504856,2024-25
8,5-10 (Bench),10-15 Fav,Perimeter (<40.0%),UNDER,10.0,57.6,125,189,78,111,0,41.269841269841265,-4009.020000000001,-21.21174603174604,-31.21174603174604,2024-25
11,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,7.7,56.4,101,185,92,92,1,50.0,-836.2800000000009,-4.520432432432437,-12.220432432432437,2024-25
10,15-20 (High Role),10-15 Dog,Perimeter (<40.0%),UNDER,8.7,56.9,65,175,90,85,0,51.42857142857142,-318.1000000000005,-1.8177142857142885,-10.517714285714288,2024-25
7,10-15 (Role Player),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,10.1,57.6,85,167,90,76,1,54.21686746987952,581.8999999999991,3.4844311377245454,-6.615568862275454,2024-25
2,10-15 (Role Player),10-15 Dog,Rim Attacker (≥40.0%),OVER,15.2,60.3,58,163,94,69,0,57.668711656441715,1645.5399999999995,10.09533742331288,-5.104662576687119,2024-25
5,5-10 (Bench),10-15 Dog,Perimeter (<40.0%),UNDER,10.6,57.9,108,149,71,78,0,47.651006711409394,-1345.39,-9.029463087248322,-19.629463087248322,2024-25
14,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),UNDER,6.7,55.9,102,148,72,76,0,48.64864864864865,-1054.480000000001,-7.124864864864872,-13.824864864864871,2024-25
3,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),OVER,14.5,60.0,85,101,48,53,0,47.524752475247524,-936.3200000000007,-9.270495049504959,-23.77049504950496,2024-25
0,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,23.0,64.4,90,97,56,41,0,57.73195876288659,990.9599999999995,10.216082474226798,-12.783917525773202,2024-25
15,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,6.1,55.6,54,83,38,45,0,45.78313253012048,-1045.42,-12.595421686746988,-18.69542168674699,2024-25
1,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),UNDER,15.9,60.7,56,80,39,41,0,48.75,-554.5100000000007,-6.931375000000009,-22.83137500000001,2024-25
