player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
Josh Okogie,1629006,2024-11-12,PHX @ UTA,W,12.0,1,3,0.333,0,1,0.0,0,0,0.0,0,2,2,0,1,0,0,0,2,-1,UTA,AWAY,Josh Okogie,False
Josh Okogie,1629006,2024-11-13,PHX @ SAC,L,28.0,10,15,0.667,3,4,0.75,2,3,0.667,6,2,8,1,2,0,0,1,25,-8,SAC,AWAY,Josh Okogie,False
Josh Okogie,1629006,2024-11-15,PHX @ OKC,L,30.0,4,12,0.333,1,4,0.25,6,9,0.667,3,6,9,1,1,0,3,3,15,-13,OKC,AWAY,Josh Okogie,False
Josh Okogie,1629006,2024-11-17,PHX @ MIN,L,16.0,3,4,0.75,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,1,6,-1,MIN,AWAY,Josh Okogie,False
Josh Okogie,1629006,2024-11-18,PHX vs. ORL,L,25.0,3,5,0.6,2,2,1.0,3,4,0.75,2,3,5,2,2,2,1,3,11,-3,ORL,HOME,Josh Okogie,False
Josh Okogie,1629006,2024-11-20,PHX vs. NYK,L,22.0,3,6,0.5,1,2,0.5,0,0,0.0,1,3,4,2,0,0,2,0,7,-2,NYK,HOME,Josh Okogie,False
Josh Okogie,1629006,2024-11-26,PHX vs. LAL,W,3.0,1,2,0.5,1,1,1.0,1,2,0.5,0,0,0,0,0,0,0,2,4,0,LAL,HOME,Josh Okogie,False
Josh Okogie,1629006,2024-11-27,PHX vs. BKN,L,1.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,BKN,HOME,Josh Okogie,False
Josh Okogie,1629006,2024-11-30,PHO vs. GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,HOME,Josh Okogie,True
Josh Okogie,1629006,2024-12-03,PHO vs. SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,HOME,Josh Okogie,True
Josh Okogie,1629006,2024-12-05,PHX @ NOP,L,11.0,3,7,0.429,0,3,0.0,0,0,0.0,2,0,2,2,2,0,0,0,6,0,NOP,AWAY,Josh Okogie,False
Josh Okogie,1629006,2024-12-07,PHX @ MIA,L,13.0,2,4,0.5,0,1,0.0,3,3,1.0,0,0,0,0,1,3,0,1,7,9,MIA,AWAY,Josh Okogie,False
Josh Okogie,1629006,2024-12-08,PHX @ ORL,L,12.0,0,1,0.0,0,0,0.0,0,0,0.0,1,4,5,0,0,0,1,2,0,-3,ORL,AWAY,Josh Okogie,False
Josh Okogie,1629006,2024-12-13,PHX @ UTA,W,6.0,0,1,0.0,0,1,0.0,0,0,0.0,2,0,2,0,1,0,0,0,0,1,UTA,AWAY,Josh Okogie,False
Josh Okogie,1629006,2024-12-15,PHX vs. POR,W,3.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,1,POR,HOME,Josh Okogie,False
Josh Okogie,1629006,2024-12-19,PHO vs. IND,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,IND,HOME,Josh Okogie,True
Josh Okogie,1629006,2024-12-21,PHO vs. DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,HOME,Josh Okogie,True
Josh Okogie,1629006,2024-12-23,PHX @ DEN,L,13.0,0,4,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,3,1,0,-14,DEN,AWAY,Josh Okogie,False
Josh Okogie,1629006,2024-12-25,PHX vs. DEN,W,17.0,3,6,0.5,1,3,0.333,0,0,0.0,2,0,2,0,1,0,0,0,7,9,DEN,HOME,Josh Okogie,False
Josh Okogie,1629006,2024-12-27,PHX vs. DAL,L,22.0,3,8,0.375,2,5,0.4,0,0,0.0,2,2,4,1,2,1,0,1,8,0,DAL,HOME,Josh Okogie,False
Josh Okogie,1629006,2024-12-28,PHX @ GSW,L,31.0,4,8,0.5,1,2,0.5,2,4,0.5,6,3,9,0,2,2,2,2,11,3,GSW,AWAY,Josh Okogie,False
Josh Okogie,1629006,2024-12-31,PHX vs. MEM,L,28.0,4,7,0.571,1,4,0.25,0,1,0.0,0,2,2,0,0,1,1,4,9,0,MEM,HOME,Josh Okogie,False
Josh Okogie,1629006,2025-01-04,PHX @ IND,L,18.0,2,4,0.5,0,1,0.0,2,2,1.0,1,2,3,3,1,1,0,3,6,2,IND,AWAY,Josh Okogie,False
Josh Okogie,1629006,2025-01-06,PHX @ PHI,W,7.0,1,2,0.5,1,2,0.5,0,0,0.0,0,3,3,1,0,0,0,1,3,2,PHI,AWAY,Josh Okogie,False
Josh Okogie,1629006,2025-01-07,PHX @ CHA,L,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-6,CHA,AWAY,Josh Okogie,False
Josh Okogie,1629006,2025-01-09,PHX vs. ATL,W,4.0,1,1,1.0,0,0,0.0,2,2,1.0,1,0,1,0,0,0,0,0,4,-1,ATL,HOME,Josh Okogie,False
Josh Okogie,1629006,2025-01-11,PHX vs. UTA,W,7.0,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,1,1,0,0,2,8,UTA,HOME,Josh Okogie,False
Josh Okogie,1629006,2025-01-12,PHO vs. CHO,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHO,HOME,Josh Okogie,True
Josh Okogie,1629006,2025-01-14,PHO @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-01-16,PHO @ WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-01-18,PHO @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-01-20,CHA vs. DAL,W,19.0,2,8,0.25,1,3,0.333,0,0,0.0,1,3,4,1,2,0,1,1,5,8,DAL,HOME,Josh Okogie,False
Josh Okogie,1629006,2025-01-22,CHA @ MEM,L,13.0,2,3,0.667,2,2,1.0,0,0,0.0,0,0,0,0,3,1,0,1,6,6,MEM,AWAY,Josh Okogie,False
Josh Okogie,1629006,2025-01-24,CHA vs. POR,L,31.0,3,8,0.375,1,3,0.333,9,12,0.75,5,5,10,3,3,0,2,5,16,9,POR,HOME,Josh Okogie,False
Josh Okogie,1629006,2025-01-25,CHA vs. NOP,W,20.0,3,7,0.429,1,4,0.25,0,0,0.0,0,4,4,2,3,2,1,1,7,24,NOP,HOME,Josh Okogie,False
Josh Okogie,1629006,2025-01-27,CHA vs. LAL,L,25.0,6,11,0.545,3,6,0.5,4,5,0.8,1,1,2,2,4,0,2,0,19,8,LAL,HOME,Josh Okogie,False
Josh Okogie,1629006,2025-01-29,CHA vs. BKN,L,26.0,4,9,0.444,1,3,0.333,0,0,0.0,1,1,2,2,1,0,1,3,9,-14,BKN,HOME,Josh Okogie,False
Josh Okogie,1629006,2025-01-31,CHA vs. LAC,L,14.0,3,7,0.429,0,2,0.0,2,2,1.0,1,1,2,0,3,2,2,0,8,6,LAC,HOME,Josh Okogie,False
Josh Okogie,1629006,2025-02-01,CHO vs. DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,HOME,Josh Okogie,True
Josh Okogie,1629006,2025-02-03,CHO vs. WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,HOME,Josh Okogie,True
Josh Okogie,1629006,2025-02-05,CHO vs. MIL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,HOME,Josh Okogie,True
Josh Okogie,1629006,2025-02-07,CHO vs. SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,HOME,Josh Okogie,True
Josh Okogie,1629006,2025-02-09,CHO @ DET,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DET,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-02-10,CHO @ BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-02-12,CHO @ ORL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ORL,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-02-19,CHO @ LAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAL,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-02-20,CHO @ DEN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DEN,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-02-22,CHO @ POR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,POR,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-02-24,CHO @ SAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAC,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-02-25,CHO @ GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-02-27,CHO @ DAL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,DAL,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-03-01,CHO vs. WAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,WAS,HOME,Josh Okogie,True
Josh Okogie,1629006,2025-03-03,CHO vs. GSW,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,GSW,HOME,Josh Okogie,True
Josh Okogie,1629006,2025-03-05,CHO vs. MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,HOME,Josh Okogie,True
Josh Okogie,1629006,2025-03-07,CHO vs. CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,HOME,Josh Okogie,True
Josh Okogie,1629006,2025-03-08,CHO vs. BRK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,BRK,HOME,Josh Okogie,True
Josh Okogie,1629006,2025-03-10,CHO @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-03-12,CHO @ ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-03-14,CHO @ SAS,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,SAS,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-03-16,CHO @ LAC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,LAC,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-03-18,CHO vs. ATL,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ATL,HOME,Josh Okogie,True
Josh Okogie,1629006,2025-03-20,CHO vs. NYK,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,NYK,HOME,Josh Okogie,True
Josh Okogie,1629006,2025-03-21,CHO @ OKC,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,OKC,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-03-23,CHO @ MIA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIA,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-03-25,CHA vs. ORL,L,16.0,0,2,0.0,0,1,0.0,3,4,0.75,0,1,1,1,1,0,0,1,3,-7,ORL,HOME,Josh Okogie,False
Josh Okogie,1629006,2025-03-28,CHO @ TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-03-30,CHA @ NOP,L,11.0,1,4,0.25,0,2,0.0,4,4,1.0,0,2,2,1,2,0,1,1,6,8,NOP,AWAY,Josh Okogie,False
Josh Okogie,1629006,2025-03-31,CHO vs. UTA,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,UTA,HOME,Josh Okogie,True
Josh Okogie,1629006,2025-04-02,CHA @ IND,L,13.0,2,6,0.333,1,2,0.5,0,0,0.0,0,1,1,0,1,0,0,1,5,-7,IND,AWAY,Josh Okogie,False
Josh Okogie,1629006,2025-04-04,CHA vs. SAC,L,12.0,1,3,0.333,0,2,0.0,4,5,0.8,1,2,3,0,1,1,0,2,6,-13,SAC,HOME,Josh Okogie,False
Josh Okogie,1629006,2025-04-06,CHA vs. CHI,L,17.0,0,3,0.0,0,2,0.0,7,8,0.875,1,0,1,2,2,0,2,0,7,8,CHI,HOME,Josh Okogie,False
Josh Okogie,1629006,2025-04-08,CHA vs. MEM,L,18.0,4,7,0.571,2,5,0.4,2,4,0.5,1,1,2,1,0,0,1,1,12,-14,MEM,HOME,Josh Okogie,False
Josh Okogie,1629006,2025-04-09,CHO @ TOR,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,TOR,AWAY,Josh Okogie,True
Josh Okogie,1629006,2025-04-11,CHA @ BOS,L,22.0,3,10,0.3,2,6,0.333,2,4,0.5,1,4,5,2,1,1,1,2,10,-10,BOS,AWAY,Josh Okogie,False
Josh Okogie,1629006,2025-04-13,CHA @ BOS,L,18.0,4,10,0.4,2,7,0.286,4,5,0.8,0,2,2,2,0,1,1,0,14,-3,BOS,AWAY,Josh Okogie,False
