player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized,dnp
RJ Barrett,1629628,2024-10-23,TOR vs. CLE,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CLE,HOME,RJ Barrett,True
RJ Barrett,1629628,2024-10-25,TOR vs. PHI,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,PHI,HOME,RJ Barrett,True
RJ Barrett,1629628,2024-10-26,TOR @ MIN,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIN,AWAY,RJ Barrett,True
RJ Barrett,1629628,2024-10-28,TOR vs. DEN,L,29.0,9,21,0.429,2,6,0.333,0,0,0.0,1,4,5,3,0,0,2,5,20,-3,DEN,HOME,Rj Barrett,False
RJ Barrett,1629628,2024-10-30,TOR @ CHA,L,33.0,10,18,0.556,4,6,0.667,7,12,0.583,1,3,4,8,2,0,3,3,31,-6,CHA,AWAY,Rj Barrett,False
RJ Barrett,1629628,2024-11-01,TOR vs. LAL,L,32.0,14,22,0.636,3,5,0.6,2,2,1.0,1,4,5,12,0,0,4,3,33,1,LAL,HOME,Rj Barrett,False
RJ Barrett,1629628,2024-11-02,TOR vs. SAC,W,40.0,10,26,0.385,3,9,0.333,8,11,0.727,2,7,9,6,1,0,2,1,31,5,SAC,HOME,Rj Barrett,False
RJ Barrett,1629628,2024-11-04,TOR @ DEN,L,33.0,5,21,0.238,2,11,0.182,4,5,0.8,1,5,6,10,1,0,5,4,16,-8,DEN,AWAY,Rj Barrett,False
RJ Barrett,1629628,2024-11-06,TOR @ SAC,L,33.0,9,19,0.474,1,5,0.2,4,5,0.8,0,3,3,3,2,0,3,2,23,-9,SAC,AWAY,Rj Barrett,False
RJ Barrett,1629628,2024-11-09,TOR @ LAC,L,30.0,6,15,0.4,1,3,0.333,0,2,0.0,0,6,6,3,2,1,4,2,13,-11,LAC,AWAY,Rj Barrett,False
RJ Barrett,1629628,2024-11-10,TOR @ LAL,L,36.0,5,15,0.333,1,7,0.143,7,9,0.778,0,7,7,4,0,0,4,3,18,-24,LAL,AWAY,Rj Barrett,False
RJ Barrett,1629628,2024-11-12,TOR @ MIL,L,31.0,3,14,0.214,1,5,0.2,0,0,0.0,1,6,7,2,2,0,5,1,7,-23,MIL,AWAY,Rj Barrett,False
RJ Barrett,1629628,2024-11-15,TOR vs. DET,L,35.0,6,18,0.333,2,6,0.333,8,9,0.889,3,3,6,7,0,1,1,1,22,14,DET,HOME,Rj Barrett,False
RJ Barrett,1629628,2024-11-16,TOR @ BOS,L,42.0,10,27,0.37,1,3,0.333,4,9,0.444,0,10,10,15,1,1,1,4,25,3,BOS,AWAY,Rj Barrett,False
RJ Barrett,1629628,2024-11-18,TOR vs. IND,W,36.0,13,21,0.619,4,8,0.5,9,12,0.75,1,8,9,5,0,0,5,2,39,12,IND,HOME,Rj Barrett,False
RJ Barrett,1629628,2024-11-21,TOR vs. MIN,W,35.0,10,14,0.714,1,3,0.333,10,12,0.833,1,6,7,3,3,0,4,2,31,-4,MIN,HOME,Rj Barrett,False
RJ Barrett,1629628,2024-11-24,TOR @ CLE,L,33.0,6,18,0.333,2,6,0.333,2,6,0.333,3,3,6,6,0,1,1,1,16,-13,CLE,AWAY,Rj Barrett,False
RJ Barrett,1629628,2024-11-25,TOR @ DET,L,34.0,7,19,0.368,1,6,0.167,2,2,1.0,0,3,3,2,1,0,3,4,17,-16,DET,AWAY,Rj Barrett,False
RJ Barrett,1629628,2024-11-27,TOR @ NOP,W,33.0,8,15,0.533,3,7,0.429,3,7,0.429,1,7,8,11,0,0,4,2,22,23,NOP,AWAY,Rj Barrett,False
RJ Barrett,1629628,2024-11-29,TOR @ MIA,L,39.0,10,18,0.556,2,4,0.5,3,4,0.75,1,5,6,7,0,0,6,2,25,-9,MIA,AWAY,Rj Barrett,False
RJ Barrett,1629628,2024-12-01,TOR vs. MIA,W,38.0,15,20,0.75,3,4,0.75,4,4,1.0,0,7,7,5,0,1,4,3,37,15,MIA,HOME,Rj Barrett,False
RJ Barrett,1629628,2024-12-03,TOR vs. IND,W,37.0,9,16,0.563,2,6,0.333,9,12,0.75,1,8,9,5,0,0,5,3,29,6,IND,HOME,Rj Barrett,False
RJ Barrett,1629628,2024-12-05,TOR vs. OKC,L,31.0,5,16,0.313,1,7,0.143,6,6,1.0,0,11,11,2,0,1,1,2,17,-15,OKC,HOME,Rj Barrett,False
RJ Barrett,1629628,2024-12-07,TOR vs. DAL,L,27.0,8,16,0.5,2,5,0.4,0,0,0.0,0,4,4,5,1,0,1,5,18,-13,DAL,HOME,Rj Barrett,False
