player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Brandon Ingram,1627742,2024-12-07,NOP vs. OKC,L,19.0,1,4,0.25,1,2,0.5,2,2,1.0,0,1,1,3,1,0,2,1,5,-21,OKC,HOME,Brandon Ingram
Brandon Ingram,1627742,2024-12-05,NOP vs. PHX,W,37.0,10,19,0.526,3,6,0.5,6,6,1.0,1,6,7,3,2,1,5,3,29,-1,PHX,HOME,Brandon Ingram
Brandon Ingram,1627742,2024-11-22,NOP vs. GSW,L,36.0,7,16,0.438,2,7,0.286,2,4,0.5,1,2,3,7,0,2,4,2,18,-2,GSW,HOME,Brandon Ingram
Brandon Ingram,1627742,2024-11-19,NOP @ DAL,L,33.0,6,15,0.4,2,4,0.5,3,4,0.75,0,5,5,4,0,0,5,3,17,-18,DAL,AWAY,Brandon Ingram
Brandon Ingram,1627742,2024-11-16,NOP vs. LAL,L,38.0,11,23,0.478,3,5,0.6,7,9,0.778,1,3,4,8,3,1,7,3,32,0,LAL,HOME,Brandon Ingram
Brandon Ingram,1627742,2024-11-15,NOP vs. DEN,W,37.0,12,26,0.462,3,9,0.333,2,2,1.0,0,9,9,7,0,1,2,1,29,18,DEN,HOME,Brandon Ingram
Brandon Ingram,1627742,2024-11-13,NOP @ OKC,L,35.0,7,18,0.389,4,8,0.5,0,0,0.0,2,4,6,6,1,0,8,2,18,-17,OKC,AWAY,Brandon Ingram
Brandon Ingram,1627742,2024-11-11,NOP vs. BKN,L,35.0,10,24,0.417,2,9,0.222,2,2,1.0,1,4,5,9,1,0,4,2,24,-3,BKN,HOME,Brandon Ingram
Brandon Ingram,1627742,2024-11-08,NOP @ ORL,L,26.0,4,12,0.333,1,4,0.25,2,2,1.0,1,4,5,5,0,0,6,3,11,-20,ORL,AWAY,Brandon Ingram
Brandon Ingram,1627742,2024-11-06,NOP vs. CLE,L,39.0,9,20,0.45,2,8,0.25,0,0,0.0,0,5,5,5,1,1,2,2,20,-17,CLE,HOME,Brandon Ingram
Brandon Ingram,1627742,2024-11-04,NOP vs. POR,L,33.0,11,24,0.458,1,8,0.125,4,5,0.8,0,5,5,7,1,0,4,3,27,-10,POR,HOME,Brandon Ingram
Brandon Ingram,1627742,2024-11-03,NOP vs. ATL,L,30.0,12,19,0.632,4,8,0.5,4,5,0.8,1,6,7,2,1,1,6,4,32,-21,ATL,HOME,Brandon Ingram
Brandon Ingram,1627742,2024-11-01,NOP vs. IND,W,35.0,10,25,0.4,3,8,0.375,3,3,1.0,2,4,6,7,1,2,2,3,26,17,IND,HOME,Brandon Ingram
Brandon Ingram,1627742,2024-10-30,NOP @ GSW,L,32.0,5,11,0.455,2,6,0.333,2,2,1.0,1,4,5,6,0,0,2,2,14,-15,GSW,AWAY,Brandon Ingram
Brandon Ingram,1627742,2024-10-29,NOP @ GSW,L,31.0,12,17,0.706,3,6,0.5,3,3,1.0,1,3,4,2,0,0,3,2,30,-10,GSW,AWAY,Brandon Ingram
Brandon Ingram,1627742,2024-10-27,NOP @ POR,L,32.0,7,17,0.412,0,3,0.0,0,0,0.0,1,7,8,6,0,0,2,2,14,-23,POR,AWAY,Brandon Ingram
Brandon Ingram,1627742,2024-10-25,NOP @ POR,W,35.0,8,20,0.4,4,9,0.444,1,2,0.5,2,6,8,4,2,1,2,3,21,-3,POR,AWAY,Brandon Ingram
Brandon Ingram,1627742,2024-10-23,NOP vs. CHI,W,31.0,13,23,0.565,3,5,0.6,4,4,1.0,2,5,7,2,2,1,3,4,33,18,CHI,HOME,Brandon Ingram
