player,market,line,best_over_odds,best_over_book,best_over_implied,best_under_odds,best_under_book,best_under_implied,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,num_bookmakers
Jordan Clarkson,player_threes,1.5,130,bovada,0.4347826086956521,145,draftkings,0.40816326530612246,0.8429458740017746,18.63157894736842,True,51.58,48.42,118.63,118.63,18.63,100.0,"Bet $51.58 Over @ bovada, $48.42 Under @ draftkings",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,6
Jordan Clarkson,player_rebounds,2.5,155,betmgm,0.392156862745098,-105,draftkings,0.5121951219512195,0.9043519846963175,10.576414595452155,True,43.36,56.64,110.57,110.58,10.57,100.0,"Bet $43.36 Over @ betmgm, $56.64 Under @ draftkings",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,3
Josh Hart,player_assists,5.5,145,betmgm,0.40816326530612246,-101,williamhill_us,0.5024875621890548,0.9106508274951772,9.811573196565938,True,44.82,55.18,109.81,109.81,9.81,100.0,"Bet $44.82 Over @ betmgm, $55.18 Under @ williamhill_us",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,5
Jalen Suggs,player_assists,4.5,130,fanduel,0.4347826086956521,100,bovada,0.5,0.9347826086956521,6.976744186046524,True,46.51,53.49,106.97,106.98,6.97,100.0,"Bet $46.51 Over @ fanduel, $53.49 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,5
Wendell Carter Jr,player_rebounds,7.5,114,fanduel,0.4672897196261683,106,betrivers,0.4854368932038835,0.9527266128300518,4.961904761904745,True,49.05,50.95,104.97,104.96,4.96,100.0,"Bet $49.05 Over @ fanduel, $50.95 Under @ betrivers",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,6
Jalen Brunson,player_threes,2.5,100,fanduel,0.5,120,bovada,0.45454545454545453,0.9545454545454546,4.761904761904767,True,52.38,47.62,104.76,104.76,4.76,100.0,"Bet $52.38 Over @ fanduel, $47.62 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,5
Jalen Suggs,player_points_rebounds_assists,23.5,-115,draftkings,0.5348837209302326,135,bovada,0.425531914893617,0.9604156358238496,4.1215868109222065,True,55.69,44.31,104.12,104.13,4.12,100.0,"Bet $55.69 Over @ draftkings, $44.31 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,2
Anthony Black,player_rebounds,4.5,114,draftkings,0.4672897196261683,102,betrivers,0.49504950495049505,0.9623392245766633,3.913461538461527,True,48.56,51.44,103.92,103.91,3.91,100.0,"Bet $48.56 Over @ draftkings, $51.44 Under @ betrivers",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,6
Jalen Brunson,player_assists,6.5,111,williamhill_us,0.4739336492890996,103,betonlineag,0.49261083743842365,0.9665444867275232,3.4613526570048236,True,49.03,50.97,103.45,103.47,3.45,100.0,"Bet $49.03 Over @ williamhill_us, $50.97 Under @ betonlineag",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,6
Wendell Carter Jr,player_rebounds,6.5,-145,draftkings,0.5918367346938775,165,bovada,0.37735849056603776,0.9691952252599153,3.1783869686134336,True,61.06,38.94,103.17,103.19,3.17,100.0,"Bet $61.06 Over @ draftkings, $38.94 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,2
Mikal Bridges,player_assists,3.5,104,fanduel,0.49019607843137253,107,betrivers,0.4830917874396135,0.973287865870986,2.7445255474452646,True,50.36,49.64,102.73,102.75,2.73,100.0,"Bet $50.36 Over @ fanduel, $49.64 Under @ betrivers",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,6
Paolo Banchero,player_threes,1.5,135,draftkings,0.42553191489361697,-125,bovada,0.5555555555555556,0.9810874704491725,1.9277108433734869,True,43.37,56.63,101.92,101.93,1.92,100.0,"Bet $43.37 Over @ draftkings, $56.63 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,6
Jalen Suggs,player_threes,2.5,134,fanduel,0.4273504273504274,-125,bovada,0.5555555555555556,0.982905982905983,1.7391304347825987,True,43.48,56.52,101.74,101.74,1.74,100.0,"Bet $43.48 Over @ fanduel, $56.52 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,4
Desmond Bane,player_rebounds,4.5,114,draftkings,0.46728971962616817,-108,betrivers,0.5192307692307693,0.9865204888569374,1.3663691018400481,True,47.37,52.63,101.37,101.36,1.36,100.0,"Bet $47.37 Over @ draftkings, $52.63 Under @ betrivers",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,4
Anthony Black,player_points_rebounds_assists,23.5,-105,betmgm,0.5121951219512195,110,bovada,0.47619047619047616,0.9883855981416957,1.1750881316098694,True,51.82,48.18,101.17,101.18,1.17,100.0,"Bet $51.82 Over @ betmgm, $48.18 Under @ bovada",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,4
Jalen Suggs,player_rebounds,3.5,-115,draftkings,0.5348837209302325,118,betonlineag,0.45871559633027525,0.9935993172605078,0.6441915396177889,True,53.83,46.17,100.64,100.65,0.64,100.0,"Bet $53.83 Over @ draftkings, $46.17 Under @ betonlineag",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,6
Paolo Banchero,player_assists,3.5,-125,draftkings,0.5555555555555556,128,betrivers,0.43859649122807015,0.9941520467836258,0.588235294117645,True,55.88,44.12,100.58,100.59,0.58,100.0,"Bet $55.88 Over @ draftkings, $44.12 Under @ betrivers",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,6
Paolo Banchero,player_points,21.5,-106,fanduel,0.5145631067961165,108,betrivers,0.4807692307692308,0.9953323375653473,0.4689551678859427,True,51.7,48.3,100.47,100.46,0.46,100.0,"Bet $51.70 Over @ fanduel, $48.30 Under @ betrivers",New York Knicks @ Orlando Magic,2025-12-13T22:43:00Z,4
Jalen Williams,player_threes,1.5,150,betmgm,0.4,-148,fanduel,0.5967741935483871,0.9967741935483871,0.3236245954692407,True,40.13,59.87,100.32,100.32,0.32,100.0,"Bet $40.13 Over @ betmgm, $59.87 Under @ fanduel",San Antonio Spurs @ Oklahoma City Thunder,2025-12-14T02:00:00Z,7
Jalen Williams,player_assists,5.5,130,betonlineag,0.4347826086956522,-129,betrivers,0.5633187772925764,0.9981013859882286,0.19022256039566976,True,43.56,56.44,100.19,100.19,0.19,100.0,"Bet $43.56 Over @ betonlineag, $56.44 Under @ betrivers",San Antonio Spurs @ Oklahoma City Thunder,2025-12-14T02:00:00Z,7
